ID,ParentID,ItemType,Name,Description,Quantity,UnitCost,Currency,Supplier,Link,Notes
1,,Component,Server 1,Main server for applications,1,1500,EUR,SuperTech,https://link-to-server-info,"RAM: 32GB, SSD: 1TB"
2,1,Component,RAM Module,DDR4 16GB RAM Module for Server 1,4,80,EUR,MemoryMasters,https://link-to-ram-info,"Brand: XYZ, Speed: 3200MHz"
3,1,Component,SSD,Samsung 1TB NVMe SSD for Server 1,1,120,EUR,DriveDepot,https://link-to-ssd-info,"Read Speed: 550MB/s, Write: 520MB/s"
4,,Component,Switch 1,Main network switch,1,250,EUR,NetworkNinjas,https://link-to-switch-info,"Ports: 24, Speed: 1Gbps"
5,4,Component,Ethernet Cable,Cat 6 Ethernet Cable,24,5,EUR,CableCrafters,https://link-to-cable-info,Length: 1m
7,,Component,Raspberry Pi Board,Raspberry Pi 4 Model B,1,35.00,EUR,Raspberry Pi Foundation,https://www.raspberrypi.org/products/raspberry-pi-4-model-b/,Main Raspberry Pi unit
8,7,Component,Power Supply,Official Raspberry Pi 4 Power Supply,1,10.00,EUR,Raspberry Pi Foundation,https://www.raspberrypi.org/products/type-c-power-supply/,For powering the Raspberry Pi
9,7,Component,MicroSD Card,16GB MicroSD Card (or larger),1,15.00,EUR,Various,,For OS and storage
10,7,Component,Network Connection,Compatible Wi-Fi Dongle,1,10.00,EUR,Various,,Optional for wireless connectivity
11,7,Component,Keyboard and Mouse,USB Keyboard and Mouse,1,20.00,EUR,Various,,For initial setup
12,7,Component,Monitor and HDMI Cable,Monitor and HDMI Cable,1,50.00,EUR,Various,,For initial setup (optional for headless use)
13,7,Component,Protective Case,Compatible Raspberry Pi Case,1,10.00,EUR,Various,,For protecting the Raspberry Pi
14,15,Component,Power Button,Momentary Push-Button Switch,1,5.00,EUR,Various,,Optional for power control
15,,,homelab,test,1,,EUR,,,
16,15,Tool,foo,bar,,,,,,
17,,Consumable,foo,baz,,,,,,
